state,median_age
Maine,45
Puerto Rico,43.6
New Hampshire,43.1
Vermont,43
West Virginia,42.9
Florida,42.5
U.S. Virgin Islands,41.8
Connecticut,41.1
Delaware,41.1
Pennsylvania,40.8
Rhode Island,40.1
New Jersey,40.1
Montana,40.1
Michigan,39.9
South Carolina,39.9
Wisconsin,39.8
Massachusetts,39.6
Oregon,39.6
Hawaii,39.6
Ohio,39.5
Alabama,39.4
New York,39.2
Kentucky,39.1
North Carolina,39.1
Maryland,39.1
Tennessee,39
Missouri,38.9
Virginia,38.6
Illinois,38.6
Arkansas,38.5
Iowa,38.5
New Mexico,38.4
Wyoming,38.4
Minnesota,38.3
Nevada,38.3
United States,38.2
Arizona,38.2
Mississippi,38
Indiana,37.9
Washington,37.8
Louisiana,37.5
South Dakota,37.4
Colorado,37.1
Georgia,37.1
Kansas,37.1
California,37
Oklahoma,36.9
Idaho,36.9
Nebraska,36.8
North Dakota,35.3
Texas,35
Alaska,35
Utah,31.3
